Interval,Average Volume,Time
V00,15.991803278688524,00:00
V01,14.368852459016393,00:15
V02,11.01639344262295,00:30
V03,9.37704918032787,00:45
V04,8.19672131147541,01:00
V05,7.229508196721311,01:15
V06,6.188524590163935,01:30
V07,5.336065573770492,01:45
V08,4.80327868852459,02:00
V09,4.30327868852459,02:15
V10,3.6475409836065573,02:30
V11,4.311475409836065,02:45
V12,3.557377049180328,03:00
V13,3.2459016393442623,03:15
V14,3.3688524590163933,03:30
V15,4.516393442622951,03:45
V16,4.30327868852459,04:00
V17,4.278688524590164,04:15
V18,5.450819672131147,04:30
V19,6.401639344262295,04:45
V20,7.278688524590164,05:00
V21,7.950819672131147,05:15
V22,10.450819672131148,05:30
V23,15.549180327868852,05:45
V24,18.270491803278688,06:00
V25,28.614754098360656,06:15
V26,42.25409836065574,06:30
V27,53.15573770491803,06:45
V28,73.34426229508196,07:00
V29,99.88524590163935,07:15
V30,122.28688524590164,07:30
V31,140.28688524590163,07:45
V32,153.13114754098362,08:00
V33,156.50819672131146,08:15
V34,161.49180327868854,08:30
V35,163.14754098360655,08:45
V36,128.7704918032787,09:00
V37,122.0,09:15
V38,111.15573770491804,09:30
V39,106.30327868852459,09:45
V40,108.84426229508196,10:00
V41,112.23770491803279,10:15
V42,110.27049180327869,10:30
V43,112.32786885245902,10:45
V44,107.49180327868852,11:00
V45,111.68032786885246,11:15
V46,112.6311475409836,11:30
V47,114.59016393442623,11:45
V48,120.22131147540983,12:00
V49,118.42622950819673,12:15
V50,115.61475409836065,12:30
V51,115.08196721311475,12:45
V52,109.04918032786885,13:00
V53,111.47540983606558,13:15
V54,109.67213114754098,13:30
V55,109.09836065573771,13:45
V56,110.26229508196721,14:00
V57,116.8360655737705,14:15
V58,114.82786885245902,14:30
V59,121.42622950819673,14:45
V60,134.0983606557377,15:00
V61,144.54098360655738,15:15
V62,157.0655737704918,15:30
V63,162.36065573770492,15:45
V64,149.4262295081967,16:00
V65,144.64754098360655,16:15
V66,144.71311475409837,16:30
V67,148.95081967213116,16:45
V68,159.52459016393442,17:00
V69,157.5,17:15
V70,160.31147540983608,17:30
V71,155.172131147541,17:45
V72,162.90983606557376,18:00
V73,145.63934426229508,18:15
V74,132.5983606557377,18:30
V75,122.10655737704919,18:45
V76,116.36065573770492,19:00
V77,98.56557377049181,19:15
V78,83.8360655737705,19:30
V79,77.47540983606558,19:45
V80,72.74590163934427,20:00
V81,65.09016393442623,20:15
V82,61.467213114754095,20:30
V83,59.84426229508197,20:45
V84,61.795081967213115,21:00
V85,56.049180327868854,21:15
V86,50.18852459016394,21:30
V87,48.204918032786885,21:45
V88,46.27049180327869,22:00
V89,42.032786885245905,22:15
V90,37.66393442622951,22:30
V91,33.86065573770492,22:45
V92,29.442622950819672,23:00
V93,25.049180327868854,23:15
V94,20.549180327868854,23:30
V95,18.188524590163933,23:45
